dy58 result for A2Data00_20150321-094802_ADC:												
X:Neg	Pos		index	xpos	xneg	ypos	yneg		xneg	xpos	yneg	ypos
43.393	48.58		1	49.891	46.242	47.692	51.636		1.0656557509	1.0269864142	1.0671020273	1.0416966996
46.707	45.103		2	49.985	51.121	43.745	45.755		1.0945040358	1.108241137	1.0466419618	1.1090406652
44.04	43.764		3	48.002	47.611	50.839	46.961		1.0810853769	1.0968375834	1.1228242158	1.0974893681
43.86	42.976		4	47.287	47.975	46.633	48.896		1.0938212494	1.1003118019	1.1149978337	1.074988474
39.464	44.66		5	48.897	44.904	48.939	50.532		1.1378471518	1.094872369	1.1142913846	1.0893489149
41.109	46.61		6	53.336	45.171	44.704	51.585		1.0988104795	1.1443037975	1.1386160468	1.0692946157
45.022	47.57		7	52.17	51.27	50.734	52.34		1.1387765981	1.0966996006	1.1484366429	1.0772007304
40.494	47.709		8	52.984	45.357	49.392	51.452		1.1200918655	1.1105661406	1.13643291	1.0863741339
43.323	46.22		9	51.468	50.847	49.57	50.635		1.1736721834	1.1135439204	1.1867207275	1.0832131463
44.596	43.383		10	50.858	49.152	49.771	48.613		1.1021616288	1.1723025148	1.1097844946	1.0848554863
39.115	47.51		11	52.687	42.919	48.878	51.108		1.0972516937	1.1089665334	1.1512885205	1.141689246
39.775	43.453		12	47.168	46.882	50.614	50.007		1.1786800754	1.0854946724	1.105762427	1.0975366467
44.102	49.056		13	53.978	49.203	49.435	48.274		1.1156636887	1.1003343118	1.0825223124	1.0902454624
42.79	47.338		14	52.116	47.871	49.313	45.29		1.1187426969	1.1009337108	1.0381899872	1.0966974313
43.599	44.754		15	47.052	49.84	50.84	44.794		1.143145485	1.0513473656	1.100508562	1.1172644163
43.853	40.591		16	45.44	49.07	44.901	49.752		1.1189656352	1.1194599788	1.1156407669	1.1601426246
44.854	46.858		17	52.267	49.418	49.56	53.771		1.1017523521	1.115433864	1.1173891359	1.1351351351
45.23	44.763		18	49.643	51.838	48.088	50.73		1.1460977228	1.1090186091	1.1488292042	1.0332173091
45.21	48.071		19	52.42	51.094	49.229	50.46		1.1301481973	1.0904703459	1.1157545605	1.1097360294
38.993	48.242		20	53.56	44.991	46.926	51.319		1.153822481	1.110235894	1.1247506959	1.0914546216
43.221	45.341		21	50.783	50.341	52.735	50.558		1.1647347354	1.1200238195	1.0959895946	1.1115678091
44.636	47.826		22	54.4	49.223	48.651	47.851		1.1027645846	1.1374566136	1.0955902555	1.0862265288
45.946	47.129		23	54.37	51.427	50.826	49.661		1.1192922126	1.1536421312	1.0822219317	1.1038332066
46.218	42.923		24	48.497	51.954	51.531	50.319		1.1241074906	1.1298604478	1.1395991394	1.1073362558
46.186	40.88		25	45.913	53.99	52.797	53.424		1.1689689516	1.1231164384	1.1384976026	1.1032241887
42.074	47.418		26	53.241	47.344	47.759	51.488		1.1252555022	1.1228014678	1.1222074497	1.1320249354
39.676	41.22		27	47.148	48.303	52.251	48.034		1.2174362335	1.1438136827	1.1761796322	1.0857125047
39.193	43.748		28	50.059	46.456	53.521	51.435		1.185313704	1.1442580232	1.2465464592	1.1910494926
46.429	44.244		29	48.342	51.547	46.429	48.535		1.1102328286	1.0926227285	1.1570277486	1.1595943955
45.006	44.954		30	49.209	50.077	53.25	48.338		1.1126738657	1.0946523113	1.1175124263	1.1499341352
45.639	46.162		31	50.552	50.395	52.96	47.013		1.1042091194	1.0950998657	1.0829494149	1.1143374153
44.025	41.342		32	46.215	49.714	53.366	51.807		1.1292220329	1.1178704465	1.1021358975	1.1176827864
45.742	46.987		33	51.699	48.196	48.324	47.69		1.0536487255	1.100283057	1.0935063744	1.0854203634
44.174	47.46		34	51.96	48.345	53.456	50.329		1.0944220582	1.0948166877	1.0832293057	1.1147582007
43.213	46.757		35	53	47.971	48.526	47.39		1.1101057552	1.1335201146	1.1102520851	1.0769196627
45.925	48.209		36	52.07	50.73	50.869	50.545		1.1046271094	1.0800887801	1.0912839778	1.0679809368
49.259	45.522		37	49.77	53.594	46.923	48.777		1.0880042226	1.0933175168	1.0879466476	1.0885744113
45.365	45.74		38	48.646	47.811	52.301	47.106		1.0539182189	1.0635330127	1.1256182943	1.0766839592
45.351	45.523		39	52.783	49.477	45.226	49.389		1.0909792507	1.1594798234	1.1244194518	1.0594794668
43.216	46.414		40	52.799	46.857	45.044	47.118		1.0842512033	1.1375662516	1.0594981112	1.0504909163
43.927	40.541		41	46.733	41.874	47.003	43.57		0.9532633688	1.152734269	1.07265073	1.0721976368
Y:Neg	Pos											
48.389	45.783											
43.716	39.444											
41.824	46.323											
43.853	43.38											
45.349	44.925											
45.305	41.807											
45.575	47.098											
45.275	45.465											
42.668	45.762											
43.804	45.878											
44.392	42.812											
45.224	46.116											
44.594	45.343											
43.624	44.965											
40.703	45.504											
44.595	38.703											
48.122	43.66											
44.158	46.542											
45.225	44.361											
45.627	42.994											
46.13	47.442											
43.676	44.789											
45.888	46.045											
44.155	46.536											
46.925	47.857											
45.881	42.189											
40.839	48.126											
41.262	44.936											
41.948	40.039											
43.255	46.307											
43.412	47.526											
47.006	47.747											
43.612	44.521											
46.462	47.953											
42.684	45.06											
46.317	47.631											
44.834	43.105											
41.849	48.576											
43.924	42.687											
44.472	42.879											
40.619	43.838											
