x_neg	x_pos	y_neg	y_pos												x_neg	x_pos	y_neg	y_pos
420	600	450	420		x1_pos	483.734	x1_neg	400.684	##	y1_pos	400	y1_neg	400		1.0482075651	1.2403511021	1.125	1.05
491.86	720.4	374.27	430.26		x2_pos	425.7	x2_neg	373.702	##	y2_pos	349.17	y2_neg	387.847		1.3161824127	1.6922715527	0.964993928	1.2322364464
491.87	675.49	401.13	514.28		x3_pos	402.353	x3_neg	398.581	##	y3_pos	408.986	y3_neg	378.529		1.2340528023	1.6788491698	1.0597074465	1.2574513553
446.34	837.38	428.68	449.34		x4_pos	423.697	x4_neg	351.649	##	y4_pos	359.436	y4_neg	419.388		1.2692770348	1.9763651855	1.0221560941	1.2501251961
478.41	842.79	544.32	531.46		x5_pos	412.689	x5_neg	369.834	##	y5_pos	431.194	y5_neg	423.695		1.2935803631	2.0421915777	1.2846977189	1.2325310649
447.95	677.97	544.13	520.81		x6_pos	414.975	x6_neg	347.289	##	y6_pos	413.115	y6_neg	420.808		1.2898479364	1.6337610699	1.2930600179	1.2606901226
460.71	694.88	423.05	589.44		x7_pos	466.63	x7_neg	407.553	##	y7_pos	467.484	y7_neg	415.917		1.1304296619	1.4891455757	1.0171500564	1.2608773776
538.03	595.6	528.32	485.57		x8_pos	385.211	x8_neg	430.689	##	y8_pos	366.635	y8_neg	420.538		1.2492308835	1.5461656079	1.2562955072	1.3243961979
421.38	611.32	504.07	495.49		x9_pos	392.096	x9_neg	363.683	##	y9_pos	405.94	y9_neg	416.061		1.1586464036	1.5591079736	1.2115290787	1.2205991033
491.39	589.94	494.5	432.92		x10_pos	379.903	x10_neg	395.394	##	y10_pos	338.218	y10_neg	400.69		1.2427856771	1.5528700747	1.234121141	1.2800028384
496.28	653.62	464.32	444.01		x11_pos	427.513	x11_neg	379.026	##	y11_pos	341.102	y11_neg	358.505		1.3093560864	1.52888918	1.295156274	1.3016927488
523.58	690.07	495.46	457.2		x12_pos	450.022	x12_neg	405.899	##	y12_pos	355.578	y12_neg	393.483		1.2899268045	1.533413922	1.2591649449	1.2857938343
